No,Category,Criteria,Metrics,Score,Passing Grade,Pass/Not Pass,Infraction Details
76,Kebersihan Outlet,Rak display - produk,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",-,2.0,Not Pass,-
77,Kebersihan Outlet,Kaca pintu,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,"Berembun, karena cuaca sedang hujan"
78,Kebersihan Outlet,Kaca jendela,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,"Berembun, karena cuaca sedang hujan"
79,Kebersihan Outlet,Kusen,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,-
80,Kebersihan Outlet,Kamar mandi - lantai,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",-,2.0,Not Pass,-
81,Kebersihan Outlet,Kamar mandi - kloset,"3 - Bersih, wangi, tidak tersumbat
2 - Salah satu kriteria di atas tidak terpenuhi
1 - Dua kriteria di atas tidak terpenuhi
0 - Seluruh kriteria di atas tidak terpenuhi",-,3.0,Not Pass,-
82,Kebersihan Outlet,Kamar mandi - lubang air,"2 - Tidak tersumbat, tidak ada kotoran
1 - Salah satu kriteria di atas tidak terpenuhi
0 - Kedua kriteria di atas tidak terpenuhi",-,2.0,Not Pass,-
83,Kebersihan Outlet,Kamar mandi - wastafel,"2 - Tidak tersumbat, tidak ada kotoran
1 - Salah satu kriteria di atas tidak terpenuhi
0 - Kedua kriteria di atas tidak terpenuhi",-,2.0,Not Pass,-
84,Kebersihan Outlet,Kamar mandi - tissue toilet,"1 - Tersedia tissue
0 - Tidak tersedia tissue",-,1.0,Not Pass,-
85,Kebersihan Outlet,Freezer - bunga es,"1 - Bunga es ≤ 2 cm
0 - Bunga es > 2 cm",1,1.0,Pass,-
86,Kebersihan Outlet,Freezer - penyimpanan,"2 - Penyimpanan barang sesuai standar
1 - Penyimpanan barang tidak sesuai standar
0 - Penyimpanan barang eksternal di freezer",2,2.0,Pass,-
